,unique_id,ds,cutoff,NBEATSx,Real_value
0,BTC,2022-04-29,2022-04-28,0.009076814,0.007457786580099371
1,BTC,2022-04-30,2022-04-28,0.008768056,0.005442896739920222
2,BTC,2022-05-01,2022-04-28,0.008244846,0.007540018039389996
3,BTC,2022-05-02,2022-04-28,0.00821969,0.007785433454798023
4,BTC,2022-05-03,2022-04-28,0.008662106,0.0051109313665430875
5,BTC,2022-05-04,2022-04-28,0.008056466,0.007769472055470699
6,BTC,2022-05-05,2022-04-28,0.009235481,0.012345491309842404
7,BTC,2022-05-06,2022-04-28,0.007952163,0.008933187451255391
8,BTC,2022-05-07,2022-04-28,0.0075000953,0.007161568984853121
9,BTC,2022-05-08,2022-04-28,0.0077289864,0.00954634087675491
10,BTC,2022-05-09,2022-04-28,0.008308324,0.017548761345909533
11,BTC,2022-05-10,2022-04-28,0.008506608,0.019765491443525445
12,BTC,2022-05-11,2022-04-28,0.007819077,0.033648370566429595
13,BTC,2022-05-12,2022-04-28,0.008739683,0.029890492585849228
14,BTC,2022-05-13,2022-04-28,0.008343535,0.015466224206770428
15,BTC,2022-05-14,2022-04-28,0.0073544593,0.01195376542550756
16,BTC,2022-05-15,2022-04-28,0.008425054,0.010378170117654488
17,BTC,2022-05-16,2022-04-28,0.008567102,0.013481059957886055
18,BTC,2022-05-17,2022-04-28,0.008138794,0.010260367216851805
19,BTC,2022-05-18,2022-04-28,0.008522692,0.009657862292070022
20,BTC,2022-05-19,2022-04-28,0.008916116,0.010042510509422635
41,BTC,2022-05-20,2022-04-29,0.007945345,0.010714755611841917
62,BTC,2022-05-21,2022-04-30,0.007976199,0.004817360977505108
83,BTC,2022-05-22,2022-05-01,0.0071966345,0.007763228852847239
104,BTC,2022-05-23,2022-05-02,0.008968646,0.009222038108099191
125,BTC,2022-05-24,2022-05-03,0.0071128015,0.007527076373045803
146,BTC,2022-05-25,2022-05-04,0.0102762515,0.007989723281402981
167,BTC,2022-05-26,2022-05-05,0.009694885,0.011579868523878075
188,BTC,2022-05-27,2022-05-06,0.008859773,0.010123111408144623
209,BTC,2022-05-28,2022-05-07,0.007319363,0.005036616182512311
230,BTC,2022-05-29,2022-05-08,0.00888253,0.0043867743706035404
251,BTC,2022-05-30,2022-05-09,0.0077475444,0.010985788505857881
272,BTC,2022-05-31,2022-05-10,0.010115217,0.00843062154040176
293,BTC,2022-06-01,2022-05-11,0.011197878,0.010057582808408662
